,id,title,release_date,genres,original_language,vote_average,vote_count,popularity,overview,runtime
7631,1042984,Christmas Full of Grace,2022-11-30,"['Romance', 'Comedy']",Portuguese,5.7,50,10.173,"After discovering a betrayal, Carlinhos takes a fun stranger to accompany him on Christmas. But Graça proves to be a madwoman capable of bringing the traditional family home down.",104
7632,148265,Eega,2012-07-05,"['Fantasy', 'Action', 'Comedy']",Telugu,7.0,167,10.056,"Nani is a flower decorator, madly in love with his neighbor Bindhu. He gets killed by the baddie, Sudeep, a powerful businessman. Nani comes back as a housefly to get his revenge.",145
7633,12262,The Hills Have Eyes,1977-07-22,"['Horror', 'Thriller']",English,6.2,745,14.803,"On the way to California, a family has the misfortune to have their car break down in an area closed to the public, and inhabited by violent savages ready to attack.",90
7634,10103,Windstruck,2004-06-03,"['Comedy', 'Romance', 'Drama']",Korean,7.2,118,14.304,"Kyung-jin, a police officer who finds herself chasing down a suspected bag-snatcher on her day off. However, the man she catches turns out to be Myungwoo, a passer-by who was himself trying to apprehend the real criminal.",123
7635,545237,The Nest,2020-05-08,"['Drama', 'Romance']",English,6.1,260,13.319,"Rory is an ambitious entrepreneur who brings his American wife and kids to his native country, England, to explore new business opportunities. After abandoning the sanctuary of their safe American suburban surroundings, the family is plunged into the despair of an archaic '80s Britain and their unaffordable new life in an English manor house threatens to destroy the family.",107
7636,926,Galaxy Quest,1999-12-25,"['Comedy', 'Science Fiction', 'Adventure']",English,7.1,1924,16.554,"For four years, the courageous crew of the NSEA protector - ""Commander Peter Quincy Taggart"" (Tim Allen), ""Lt. Tawny Madison (Sigourney Weaver) and ""Dr.Lazarus"" (Alan Rickman) - set off on a thrilling and often dangerous mission in space...and then their series was cancelled! Now, twenty years later, aliens under attack have mistaken the Galaxy Quest television transmissions for ""historical documents"" and beam up the crew of has-been actors to save the universe. With no script, no director and no clue, the actors must turn in the performances of their lives.",101
7637,835739,Super Monsters: Once Upon a Rhyme,2021-06-01,['Animation'],English,6.2,67,10.339,"From Goldilocks to Hansel and Gretel, the Super Monsters reimagine classic fairy tales and favorite nursery rhymes with a musical, magical spin!",0
7638,11188,Ring of the Nibelungs,2004-11-19,"['Action', 'Adventure', 'Fantasy', 'TV Movie']",English,6.2,113,12.553,"In this swords-and-sorcery tale, good-hearted blacksmith Eyvind hides away infant Prince Siegfried after two malevolent kings murder his father. But a fiery meteor sent by the gods reveals Siegfried's destiny, sending him on the quest of a lifetime. To save a crumbling kingdom claim the heart of his true love, he'll have to slay the nefarious dragon, Fafnir.",133
7639,491584,Burning,2018-05-17,"['Mystery', 'Drama', 'Thriller']",Korean,7.4,1322,15.311,A young South Korean man becomes obsessed with a young woman who seems to have disappeared.,148
7640,22897,It's Complicated,2009-12-23,"['Comedy', 'Romance']",English,6.5,1239,12.554,"Ten years after their divorce, Jane and Jake Adler unite for their son's college graduation and unexpectedly end up sleeping together. But Jake is married, and Jane is embarking on a new romance with her architect. Now, she has to sort out her life—just when she thought she had it all figured out.",121
7641,278774,Zapped,2014-06-27,"['TV Movie', 'Comedy', 'Family']",English,6.1,560,9.057,"Zoey is a talented dancer whose organized life is rudely disrupted when she moves in with her new step-dad and three step-brothers, until she discovers a dog-training app that can get boys to obey her every command. But she soon learns that it isn't the cure-all she had hoped for.",92
7642,425336,Loving Pablo,2017-10-12,"['Crime', 'Drama']",Spanish,6.3,921,12.31,The film chronicles the rise and fall of the world's most feared drug lord Pablo Escobar and his volatile love affair with Colombia's most famous journalist Virginia Vallejo throughout a reign of terror that tore a country apart.,123
7643,42190,The Classic,2003-01-30,"['Drama', 'Romance']",Korean,7.5,135,12.303,"Ji-hae's friend is having problems expressing her feelings to the boy she loves, so she asks Ji-hae to write e-mails to him in her name. As the boy falls in love with her letters, Ji-hae discovers the story of her mother's romance which is remarkably similar to her own circumstances.",133
7644,10951,Gorgeous,1999-02-12,"['Adventure', 'Action', 'Comedy', 'Romance']",Cantonese,6.3,307,15.303,"When Ah Bu, a girl from a small fishing town in Taiwan, finds a glass bottle with a romantic message, she travels to Hong Kong to find her prince charming. As it turns out, her prince charming, Albert, happens to be gay. But all is not lost when Ah Bu meets the dashing Chi Wu. Meanwhile, Ah Bu's boyfriend from Taiwan comes looking for her, as the action and romance follow Ah Bu back to Taiwan.",121
7645,432787,Fun Mom Dinner,2017-08-04,['Comedy'],English,5.8,201,11.309,"Four women, whose kids attend the same preschool class, get together for a ""fun mom dinner"". When the night takes an unexpected turn, these unlikely new friends realize they have more in common than just marriage and motherhood.",81
